Season,Player,Position,Age,Nationality,From,Fee
2020/2021,Donny van de Beek ,"


Central Midfield",,N/A,N/A,€39.00m
2020/2021,Amad Diallo ,"


Right Winger",,N/A,N/A,€21.30m
2020/2021,Alex Telles ,"


Left-Back",,N/A,N/A,€15.00m
2020/2021,Facundo Pellistri ,"


Left Winger",,N/A,N/A,€8.65m
2020/2021,Edinson Cavani ,"


Centre-Forward",,N/A,N/A,free transfer
2020/2021,Dean Henderson ,"


Goalkeeper",,N/A,N/A,-
2020/2021,James Garner ,"


Defensive Midfield",,N/A,N/A,-
2020/2021,Teden Mengi ,"


Centre-Back",,N/A,N/A,-
2020/2021,Jesse Lingard ,"


Attacking Midfield",,N/A,N/A,"End of loanMay 31, 2021"
2020/2021,Alexis Sánchez ,"


Centre-Forward",,N/A,N/A,"End of loanAug 31, 2020"
2020/2021,Chris Smalling ,"


Centre-Back",,N/A,N/A,"End of loanAug 3, 2020"
2020/2021,Marcos Rojo ,"


Centre-Back",,N/A,N/A,"End of loanJun 30, 2020"
2020/2021,Tahith Chong ,"


Right Winger",,N/A,N/A,"End of loanJan 30, 2021"
2020/2021,James Garner ,"


Defensive Midfield",,N/A,N/A,"End of loanMay 31, 2021"
2020/2021,James Garner ,"


Defensive Midfield",,N/A,N/A,"End of loanJan 29, 2021"
2020/2021,Teden Mengi ,"


Centre-Back",,N/A,N/A,"End of loanApr 19, 2021"
2020/2021,Joel Pereira ,"


Goalkeeper",,N/A,N/A,"End of loanMay 31, 2021"
2021/2022,Jadon Sancho ,"


Left Winger",,N/A,N/A,€85.00m
2021/2022,Raphaël Varane ,"


Centre-Back",,N/A,N/A,€40.00m
2021/2022,Cristiano Ronaldo ,"


Centre-Forward",,N/A,N/A,€17.00m
2021/2022,Tom Heaton ,"


Goalkeeper",,N/A,N/A,free transfer
2021/2022,Anthony Elanga ,"


Right Winger",,N/A,N/A,-
2021/2022,Donny van de Beek ,"


Central Midfield",,N/A,N/A,"End of loanMay 31, 2022"
2021/2022,Amad Diallo ,"


Right Winger",,N/A,N/A,"End of loanMay 31, 2022"
2021/2022,Diogo Dalot ,"


Right-Back",,N/A,N/A,"End of loanJun 30, 2021"
2021/2022,Brandon Williams ,"


Left-Back",,N/A,N/A,"End of loanMay 31, 2022"
2021/2022,Andreas Pereira ,"

Attacking Midfield",,N/A,N/A,"End of loanJun 30, 2021"
2021/2022,Axel Tuanzebe ,"


Right-Back",,N/A,N/A,"End of loanJan 6, 2022"
2021/2022,James Garner ,"


Defensive Midfield",,N/A,N/A,"End of loanMay 31, 2022"
2021/2022,Facundo Pellistri ,"

Left Winger",,N/A,N/A,"End of loanJun 30, 2021"
2021/2022,Tahith Chong ,"


Right Winger",,N/A,N/A,"End of loanJun 30, 2021"
2021/2022,Tahith Chong ,"

Right Winger",,N/A,N/A,"End of loanMay 31, 2022"
2021/2022,Teden Mengi ,"


Centre-Back",,N/A,N/A,"End of loanMay 31, 2022"
2022/2023,Antony ,"

Right Winger",,N/A,N/A,€95.00m
2022/2023,Casemiro ,"


Defensive Midfield",,N/A,N/A,€70.65m
2022/2023,Lisandro Martínez ,"


Centre-Back",,N/A,N/A,€57.37m
2022/2023,Tyrell Malacia ,"


Left-Back",,N/A,N/A,€15.00m
2022/2023,Wout Weghorst ,"

Centre-Forward",,N/A,N/A,Loan fee:€2.96m
2022/2023,Martin Dúbravka ,"


Goalkeeper",,N/A,N/A,Loan fee:€2.30m
2022/2023,Christian Eriksen ,"


Central Midfield",,N/A,N/A,free transfer
2022/2023,Marcel Sabitzer ,"


Central Midfield",,N/A,N/A,loan transfer
2022/2023,Jack Butland ,"


Goalkeeper",,N/A,N/A,loan transfer
2022/2023,Hannibal ,"


Attacking Midfield",,N/A,N/A,-
2022/2023,Álvaro Carreras ,"


Left-Back",,N/A,N/A,-
2022/2023,Alejandro Garnacho ,"


Attacking Midfield",,N/A,N/A,-
2022/2023,Zidane Iqbal ,"

Central Midfield",,N/A,N/A,-
2022/2023,Matej Kovar ,"


Goalkeeper",,N/A,N/A,-
2022/2023,Kobbie Mainoo ,"


Central Midfield",,N/A,N/A,-
2022/2023,Dean Henderson ,"


Goalkeeper",,N/A,N/A,"End of loanMay 31, 2023"
2022/2023,Anthony Martial ,"


Centre-Forward",,N/A,N/A,"End of loanJun 30, 2022"
2022/2023,Amad Diallo ,"


Right Winger",,N/A,N/A,"End of loanMay 31, 2023"
2022/2023,Hannibal ,"


Attacking Midfield",,N/A,N/A,"End of loanMay 31, 2023"
2022/2023,Andreas Pereira ,"


Attacking Midfield",,N/A,N/A,"End of loanJun 30, 2022"
2022/2023,Axel Tuanzebe ,"


Right-Back",,N/A,N/A,"End of loanJun 30, 2022"
2022/2023,Axel Tuanzebe ,"


Right-Back",,N/A,N/A,"End of loanMay 31, 2023"
2022/2023,Álvaro Carreras ,"


Left-Back",,N/A,N/A,"End of loanMay 31, 2023"
2022/2023,Facundo Pellistri ,"


Left Winger",,N/A,N/A,"End of loanJun 30, 2022"
2023/2024,Rasmus Højlund ,"


Centre-Forward",,N/A,N/A,€77.80m
2023/2024,Mason Mount ,"


Attacking Midfield",,N/A,N/A,€67.70m
2023/2024,André Onana ,"


Goalkeeper",,N/A,N/A,€50.20m
2023/2024,Sofyan Amrabat ,"


Defensive Midfield",,N/A,N/A,Loan fee:€10.00m
2023/2024,Altay Bayindir ,"


Goalkeeper",,N/A,N/A,€5.00m
2023/2024,Jonny Evans ,"


Centre-Back",,N/A,N/A,free transfer
2023/2024,Sergio Reguilón ,"


Left-Back",,N/A,N/A,loan transfer
2023/2024,Willy Kambwala ,"


Centre-Back",,N/A,N/A,-
2023/2024,Omari Forson ,"


Right Winger",,N/A,N/A,-
2023/2024,Daniel Gore ,"


Central Midfield",,N/A,N/A,-
2023/2024,Alex Telles ,"


Left-Back",,N/A,N/A,"End of loanJun 30, 2023"
2023/2024,Álvaro Carreras ,"


Left-Back",,N/A,N/A,"End of loanJan 14, 2024"
2023/2024,Eric Bailly ,"


Centre-Back",,N/A,N/A,"End of loanJun 30, 2023"
2023/2024,Brandon Williams ,"


Left-Back",,N/A,N/A,"End of loanMay 31, 2024"
2023/2024,Matej Kovar ,"


Goalkeeper",,N/A,N/A,"End of loanJun 30, 2023"
2023/2024,Daniel Gore ,"


Central Midfield",,N/A,N/A,"End of loanMay 31, 2024"
